Name,Description,Application url
The Simpson Foundation,"I. Timeline

Application deadlines

April 1 and August 30

II. Application Process

How to Apply:

How do I apply for a grant online?:

- After you have located the foundation you want to apply to, selectApply Online.
- You will be prompted to create a new grant seeker account, or tologin to an existing account.
- When you create a new grant seeker account you will receive a welcome email. Please save this email for future reference. If you cannot locate this email, please check your spam folder.
- You only need one grant seeker account, even if you are submitting grant applications to multiple foundations.

Are there limits on how often or how many applications I may submit?:
In general, there are no limits on the number of foundations you can apply to as long as you meet their grant guidelines. Most foundations will only accept one application per year. Please refer to the foundation's grant guidelines for specific details. You must submit a separate grant request for each foundation.

How do I submit attachments to my grant application?:
Everything we need is included in the application form. If you complete all required fields on the grant application, you will not need to attach any supporting documentation unless the application specifically requires it or additional documentation is requested in the grant guidelines.

Have you received my grant application?:
When you submit your application online you will receive a submission confirmation email containing a copy of your grant application. If you cannot locate this email, please check your spam folder or contact us for further assistance.

What is the status of my grant application?:
Please refer to the foundation's grant guidelines for expected decision dates. If you have not received notification within 30 days of the posted decision date, please email us at grantadministration@wellsfargo.com. Please include the name of the foundation you applied to.

*** Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.

Assistive technology users: Request an alternative application
https://www.wellsfargo.com/private-foundations/assistive-technology/

III. Contact

Call Us

Grant Program or Technical Support 
1-888-235-4351

Email us 
grantadministration 
@wellsfargo.com",https://www.wellsfargo.com/private-foundations/simpson-foundation
Jumpstart Grant,"At a Glance
Jumpstart is a yearlong program administered by Network for Good (NFG) to build fundraising capacity for nonprofit organizations.

This includes:

 - Twice-monthly one-on-one coaching sessions with a certified Personal Fundraising Coach.
 - Donor Management, email blast, and fundraising software to raise funds through online donations, events, and peer-to-peer fundraising.
 - Template library for fundraising tools such as fundraising plans, board development exercises, grant writing tips, special event plans, etc.
 - Monthly webinars to help you develop and accomplish your fundraising goals.

The full Jumpstart Program costs $6,400 per nonprofit, $1,400 of which is covered by Network for Good. The remaining $5,000 will be split between Central Carolina Community Foundation and the participating nonprofit. CCCF will provide up to six (6) nonprofits with a matching $4,000-$4,500 grant for them to contract with NFG to increase their fundraising capacity. Based on a sliding scale, nonprofits will be responsible for $500-$1,000 of the cost of the program. This fee can be paid prior to beginning the year-long program or in monthly installments.

This Grant Will Not Fund
Organizations that have operated for less than one year
Public entities, educational institutions or faith-based institutions",https://yourfoundation.org/jumpstart-grant/
Harvest Charities Grant,"I. Timeline

Application deadlines

April 1 and August 30

II. Application Process

How to Apply:

How do I apply for a grant online?:

- After you have located the foundation you want to apply to, selectApply Online.
- You will be prompted to create a new grant seeker account, or tologin to an existing account.
- When you create a new grant seeker account you will receive a welcome email. Please save this email for future reference. If you cannot locate this email, please check your spam folder.
- You only need one grant seeker account, even if you are submitting grant applications to multiple foundations.

Are there limits on how often or how many applications I may submit?:
In general, there are no limits on the number of foundations you can apply to as long as you meet their grant guidelines. Most foundations will only accept one application per year. Please refer to the foundation's grant guidelines for specific details. You must submit a separate grant request for each foundation.

How do I submit attachments to my grant application?:
Everything we need is included in the application form. If you complete all required fields on the grant application, you will not need to attach any supporting documentation unless the application specifically requires it or additional documentation is requested in the grant guidelines.

Have you received my grant application?:
When you submit your application online you will receive a submission confirmation email containing a copy of your grant application. If you cannot locate this email, please check your spam folder or contact us for further assistance.

What is the status of my grant application?:
Please refer to the foundation's grant guidelines for expected decision dates. If you have not received notification within 30 days of the posted decision date, please email us at grantadministration@wellsfargo.com. Please include the name of the foundation you applied to.

*** Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.

Assistive technology users: Request an alternative application
https://www.wellsfargo.com/private-foundations/assistive-technology/

III. Contact

Call Us

Grant Program or Technical Support 
1-888-235-4351

Email us 
grantadministration 
@wellsfargo.com",https://www.wellsfargo.com/private-foundations/harvest-charities
W.K. Kellogg Foundation Grants,"While not a definitive list, we typically do not fund unsolicited requests for the following:
- Capital requests (e.g., the purchase or renovation of buildings, vehicles or technology)
- Direct services (e.g., classroom supplies, library books, child care programs)
- Continuation of established programs (e.g., shelters, food pantries, afterschool programs)
- Endowments (e.g., establishing an investment fund or a permanent, self-sustaining source of funding)
- Events (e.g., fundraisers, conferences, workshops)
- Individual assistance (e.g., tuition, financial support, emergency aid)

Please note, our online application is only designed for project or program support. If your organization is seeking a general operating support grant, you should contact our Concierge Desk via email, toll free (888) 606-5905 (US only), or +1 (269) 969-2329 (international cost may apply) to discuss further.

Where does WKKF fund?

WKKF provides grant support in the United States, Haiti, Mexico, as well as to sovereign tribes. In the United States, we provide funding to all 50 states, and we have selected Michigan, Mississippi, New Mexico and New Orleans as priorities for our place-based programming. In Mexico, our place-based programming focuses on the Highlands of Chiapas and the Yucatan Peninsula. In Haiti, we concentrate our programming in the Central and Southern corridors.",https://wrm.wkkf.org/uWebRequestManager/UI/Application_Questions_HelperText.pdf
Charles H. Revson Foundation Urban Affairs Grant,"I. Timeline

Phase I: Revson evaluates letters of inquiry as they are submitted throughout the year.
Phase II: Full proposals are accepted by invitation only. If you have been invited to apply for a grant, please download our proposal submission guidelines.

II. Application Process

LETTERS OF INQUIRY
The Revson Foundation welcomes letters of inquiry from prospective grantees. Please send an e-mail with a very brief description of your project, including the following information:
 - Organization Name
 - Name of Contact
 - E-mail
 - Phone Number
 - Mailing Address
 - Project Title
 - Project Budget
 - Amount Sought
 - Description of Project

Please do not include any attachments.

We are unable to accept inquiries through the mail or by phone.

We read all e-mail promptly. If your proposal seems appropriate for follow up, we will contact you within two weeks. We regret that, given the volume of inquiries, we are unable to respond to each letter individually.

Please note that we currently do not fund:
 - Individuals
 - Film projects
 - Book projects
 - Endowments
 - Capital or building campaigns
 - Fundraising dinner events
 - National or local health appeals
 - Projects located outside of the United States or Israel
 - Research grants or scholarships for individuals (except within our fellowships programs)
 - Biomedical research projects (except within our fellowships programs)

For more information, please see the FAQs for grant seekers.

III. Contact

THE CHARLES H. REVSON FOUNDATION
55 East 59th Street, 23rd Floor
New York, NY 10022
(212) 935-3340 | info@revsonfoundation.org",http://revsonfoundation.org/grantseeker/loi/
Sony USA Foundation Grants,"Review and Evaluation of Grant Requests

If the request is within Sony's Giving Guidelines and available funds permit consideration of it, an organization may be asked to provide more complete information before a decision is made. Notification of grant request approval or regret will be made in writing within one month of the receipt of all proposed materials. We do not respond to telephone follow-ups. Since the Company receives funding request far in excess of its annual grants program budget, we must often decline support to worthy organizations and programs. Such a response does not reflect, in any way, a negative appraisal of the prospective organization or the value of its programs and services.

- Organizations that discriminate on the basis of race, color, creed, gender, religion, age, national origin or sexual orientation
- Partisan political organizations, committees, or candidates and public office holders
- Religious organizations in support of their sacramental or theological functions
- Labor unions
- Endowment or capital campaigns of national origin
- Organizations whose primary purpose is to influence legislation
- Testimonial dinners, in general
- For-profit publications or organizations seeking advertisements or promotional support
- Individuals seeking self-advancement
- Foreign or non-U.S.-based organizations",https://www.sony.com/en_us/SCA/social-responsibility/giving-guidelines.html
Venetian Program: Institutional Support,"I. Timeline

There are no deadlines for organizational applications.

II. Application Process

Please review the instructions below before applying.

1)    Consult the Overview of Programs http://delmas.org/?page_id=6 for a description of the mission and guidelines for the Humanities, Performing Arts, Research Libraries, and Venetian Programs.  Review the Restrictions guidelines. http://delmas.org/programs/#Restrictions

2)    Confirm your Eligibility.  The Foundation supports:

+ U.S. not-for-profit organizations with 501(c)(3) status
+ organizations utilizing a U.S. fiscal sponsor with 501(c)(3) status
+ not-for-profit organizations, including those outside of the U.S., with necessary documentation.  Please contact the Delmas office to learn what the Foundation requires.

Grants to individuals are only provided via the Venetian Research Program.  http://delmas.org/?p=139 Individual scholars should consult the guidelines for that program.

3)    Register your Organization (or contact the office to see if your organization already has a login).  Click here and use the ""Create New Account"" button.   You will provide contact information and create a login. https://www.grantinterface.com/Common/LogOn.aspx?eqs=pea9Ssv98laxunhZWDrhFR_4ANBOL97C0

4)    Apply using the Foundation's online grant portal.  Click on the ""Organizational Grant Applications"" link to enter your proposal.  You may preview the information requested here. http://delmas.org/wp-content/uploads/2013/05/Questions-for-Organizational-Grant-Applications-2018.pdf

Register or Log in & Begin Application https://www.grantinterface.com/Home/Logon?urlkey=kriebledelmas

An email receipt will be sent immediately upon submission.  Please allow 3-4 months for an official response to the application.

There are no deadlines for organizational applications. The Foundation reviews proposals throughout the year.

If you have general question about applying, you may call Ms. Bauch at the number below before sending a proposal.

III. Contact

The Gladys Krieble Delmas Foundation
275 Madison Avenue, Suite 2102 New York, New York 10016-1101
(212) 687-0011
info@delmas.org",http://delmas.org/grants/general-application-guidelines/
COVID-19 Research Grants,"Apply for Google Cloud research credits
Google Cloud research credits can advance your research by giving you access to computing power that will make the next big thing possible. We're funding projects from modeling the outbreak of COVID-19 to predicting sepsis and discovering new planets. We look forward to supporting the next big breakthrough.

To learn more about the ways Google Cloud is supporting organizations tackling challenges associated with COVID-19, explore our COVID-19 resources. https://cloud-google-com.remote.baruch.cuny.edu/covid19-healthcare?hl=en
 
Program overview
COVID-19 Research Grants 
We've partnered with the Harvard Global Health Institute to fund companies, government agencies, non-profit organizations and academic institutions working on COVID-19 research. Researchers in approved countries are eligible to apply for COVID-19 related research credits. Read program FAQs. https://edu-google-com.remote.baruch.cuny.edu/programs/faqs/?modal_active=none#academic-research-credits-program",https://edu-google-com.remote.baruch.cuny.edu/programs/faqs/?modal_active=none#research-credits
Elsie H. Hillman Foundation Grants,"Mission

The Elsie H. Hillman Foundation's mission is to improve the quality of life in Pittsburgh and southwestern Pennsylvania through strategic and thoughtful grantmaking in support of a wide range of institutions to advance community development, health, education, human services, the arts, and the environment - with a primary focus on investing in women, minorities, and civic leadership programs.

Overview

Elsie Hillman (1925-2015) epitomized the best of philanthropy in Pittsburgh for over 60 years. To everyone who had the pleasure of meeting her, she was simply ""Elsie,"" and she worked tirelessly to make Pittsburgh a better place, with particular attention to helping those who didn't have the knowledge, the access, or just that bit of encouragement needed to help themselves. She was a pioneer as a political leader who for over 60 years worked tirelessly to elect candidates from school board members to President of the United States, but her political work, civic activities, and philanthropic efforts were always intertwined. Elsie was always in it to make everything better for others in some way. The Elsie Hilliard Hillman Foundation was formed in 2006 with a gift from her husband, Henry L. Hillman, on the occasion of her 80th birthday, ""given with love forever."" Henry created the Foundation as a tribute to Elsie and to provide her with dedicated resources to pursue her own philanthropic agenda and to support the organizations and causes that mattered most to her. Although the Foundation has a wide range of interests, over the nine years for which Elsie served as its chair, she emphasized the need to support projects and organizations that help and promote women and minorities. These interests remain a focus for the Foundation today, as it continues its work as a testimony to the impact of Elsie's selfless commitment to the people of Pittsburgh.

Guiding Principles

The Elsie H. Hillman Foundation invests in the growth of young civic leaders and in building communities that improve quality of life for all citizens and particularly for women and minorities.

* To live up to its ""Most Livable"" title, Pittsburgh must continuously invest in the creation of opportunities for women and minorities. People of all different colors, genders, cultures, sexual orientations, backgrounds, and beliefs deserve to have a voice and to be fully engaged in shaping the future of the region.
* ""Don't be a spectator. You are needed in every corner of the community."" Elsie shared this observation with the writers of an Institute of Politics case study on her political life. She firmly believed that leadership, volunteerism, and active engagement in public life are needed in every neighborhood, especially among the region's young people.
* Neighbors should help each other, injecting a healthy dose of fun and joy along the way. Sometimes our neighbors just need a helping hand. Such needs can arise from a flood, fire, an act of violence, financial crisis, government funding cuts, or other unexpected life turmoil.",http://hillmanfamilyfoundations.org/foundations/elsie-h-hillman-foundation/
Mary Hillman Jennings Foundation Grants,"Mission

The Mary Hillman Jennings Foundation's mission is to improve the quality of life in Pittsburgh and southwestern Pennsylvania through strategic and thoughtful grantmaking in support of a wide range of institutions to advance community development, health, education, human services, the arts, and the environment, with a primary focus on improving the lives and future outlook of disadvantaged populations.

Overview

Mary Hillman Jennings (1921-1979) was involved in a wide range of community activities in Pittsburgh and, with her sister, Patricia, was a dedicated advocate for individuals with intellectual and developmental disabilities (IDD). She created the Mary Hillman Jennings Foundation in 1968 with the intention of advancing her charitable work and her support for Pittsburgh-area nonprofit organizations. Among the wide range of programs and projects it supports, the Foundation continues to honor Mary's generosity and legacy by providing grants to assist individuals with IDD as well as other behavioral challenges.

Guiding Principles

The Mary Hillman Jennings Foundation works to ensure that citizens of southwestern Pennsylvania, including those who are too often marginalized, receive high-quality, innovative services and have the resources and opportunities to benefit fully from the region's improving quality of life.

Mary Hillman Jennings believed that a truly world-class region invests in the lives of its most vulnerable citizens and in the improvement of its most disadvantaged communities. Honoring her lifelong commitment to this principle, the Foundation will continue to focus primarily on improving quality of life for the region's citizens most likely to be left behind by rapid innovation, growth, and changing economic and social conditions.",https://hillmanfamilyfoundations.org/grants/apply/
The Gladys Krieble Delmas Foundation - Humanities Program,"The Foundation intends to further the humanities along a broad front, supporting projects which address the concerns of the historical studia humanitatis: a humanistic education rooted in the great traditions of the past; the formation of human beings according to cultural, moral, and aesthetic ideals derived from that past; and the ongoing debate over how these ideals may best be conceived and realized.

Programs in the following areas are eligible: history; archaeology; literature; languages, both classical and modern; philosophy; ethics; comparative religion; the history, criticism, and theory of the arts; and those aspects of the social sciences which share the content and methods of humanistic disciplines. The Foundation welcomes projects that cross the boundaries between humanistic disciplines and explore the connection between the humanities and other areas of scholarship. Programs of institutions in Venice relating to the humanities are eligible in this category. (Individuals seeking research grants for work in Venice should see Venetian Programs.)  The geographical concentration is primarily but not exclusively directed toward European and American history and letters, broadly defined.

The Humanities Program is primarily directed to institutions of higher education and humanistic enterprises such as learned societies, museums, and major editorial projects. The program may also consider, on a selective basis, projects that increase the exposure of those outside these institutions to the humanistic experience or that strengthen preparation for the humanistic disciplines.  The prime criterion remains that of Gladys and Jean Delmas: a commitment to excellence, whether proven or promised.",http://delmas.org/grants/general-application-guidelines/
Philanthropic Charitable Support,"Your organization must be recognized by the IRS as a tax exempt, public charity under sections 501(c)(3) and 501(c)(6) of the Internal Revenue Code and be located in the United States; or be a US governmental organization (such as public schools, public colleges and universities, public hospitals and federally recognized Indian tribal governments).

In order to be eligible for this type of funding, your organization must not be:
- A political or sectarian organization
- Based outside of the United States

In order to be eligible for this type of funding, the funding must not be used for:
- Capital campaigns/building funds
- Individuals
- Professional sports events or athletes
- Religious purposes
- An organization with a written policy to discriminate based on race, religion, gender, gender expression and/or identity, age, national origin, disability, marital status, sexual orientation, military status, or any other protected status is ineligible for funding.",https://www.gene.com/good/giving/corporate-giving/funding
Product Grant Program,"Cisco's Product Grant Program accepts applications year-round from qualified charitable organizations to help them realize significant gains in productivity, scalability, and cost-efficiency. Before applying, nonprofits can determine their eligibility by reviewing the requirements below and grant giving policies.

We do not grant to schools, libraries, museums or hospitals.

Product grants to small organizations with one to several sites or requests under US$25,000 list price are fulfilled by our partner TechSoup.

Organizational requirements:

- Organizations within the United States (U.S.) must be recognized by the IRS as tax-exempt under Internal Revenue Code - Section 501(c)(3) and classified by the IRS as a public charity
- Organizations outside the United States (U.S.) must provide information and documents to determine whether the organization is the equivalent of a U.S. public charity
- Organizations must serve the community at large
- Organizations and programs must focus on at least one of our social investment areas: access to education, economic empowerment, or critical human needs
- An organization's overhead is not to exceed 25%. The maximum request amount for first-time Customized Connectivity Grant recipients is US$50,000 (list price) of equipment
If you require equipment above the TechSoup limit or if the equipment you require is not offered, then you may apply for a Customized Connectivity Grant

Ineligible programs and/or activities

All applications must be completed using our online application form. Cisco will not consider incomplete proposals or paper-based applications. Proposals in the following areas are not eligible for Product Grants:

- Programs or organizations that re-grant or loan funds
- Programs which require exposure, adherence to, or conversion to any religious doctrine in order to be a beneficiary of the program (Note: A direct service program run by a faith-based organization may be eligible. See our grant giving policies.)
- Individuals are not eligible. (Program is open to organizations only)
- Start-up/new nonprofits (i.e. those with less than one year of successful operations)
- Multi-year grants
- Proposals in combination or in support of a product sale
- Schools & scholarships:
- Public schools or school systems
- Private schools
- Charter schools
- School foundations
- Booster clubs or other fundraising organizations affiliated with particular school(s)
- Colleges/universities
- Scholarships/stipend programs of any kind
- Libraries
- Museums
- Hospitals, health care centers, or community clinics",https://www.cisco.com/c/en/us/about/csr/community/nonprofits/product-grant-program.html#~stickynav=3
