Copyright 2020 Foundation Center

Grantmaker Name,Grantmaker State,Recipient Name,Recipient City,Recipient State/Country,Primary Subject,Year Authorized,Grant Amount,Support Strategies,Description
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","One World Education","Washington","District of Columbia","Education services" ,"2021","70000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Dc Arts and Humanities Education Collaborative","Washington","District of Columbia","Education" ,"2021","65000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Child and Family Network Centers, The","Alexandria","Virginia","Child development" ,"2021","60000","General support;","General support."
"The Tudor Trust","","Reader Organisation","Liverpool","England","Disaster relief" ,"2021","51310","","Over one year As a one-off unrestricted grant to provide support to The Reader as it adapts to respond to the Coronavirus crisis"
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Academy of Hope Adult Public Charter School","Washington","District of Columbia","Charter school education" ,"2021","50000","General support;","General support."
"Carnegie Corporation of New York","New York","STEM Next Opportunity Fund","San Diego","California","STEM education" ,"2021","50000","General support;","For general support"
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","E.L. Haynes Public Charter School","Washington","District of Columbia","Charter school education" ,"2021","50000","Program support;","For extended day and intersessions programs."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Reginald S Lourie Center for Infants and Young Children","Gaithersburg","Maryland","Elementary and secondary education" ,"2021","50000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Aspire! Afterschool Learning","Arlington","Virginia","Out-of-school learning" ,"2021","50000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Black Swan Academy","Washington","District of Columbia","Education services" ,"2021","50000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Literacy Lab","Washington","District of Columbia","Adult literacy" ,"2021","45000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Goucher Prison Education Partnership","Baltimore","Maryland","" ,"2021","45000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Family Place","Washington","District of Columbia","Child development" ,"2021","45000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Hillside Work-Scholarship Connection","Rochester","New York","Youth development" ,"2021","40000","General support;","General support for work in the Prince George's County Public Schools."
"John Lyon's Charity","","Kensington & Chelsea YPF","","England","" ,"2021","38355","Capacity-building and technical assistance;Program support;","COVID-19: LCR Wave 2 - Upskilling Supplementary Schools"
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Inner City-Inner Child","Washington","District of Columbia","Child development" ,"2021","35000","General support;","General support for the arts-focused early learning literacy program."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","826DC","Washington","District of Columbia","Tutoring" ,"2021","35000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","CollegeTracks","Bethesda","Maryland","Education services" ,"2021","35000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Retired Scientists, Engineers and Technicians","Washington","District of Columbia","Education" ,"2021","30000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Edu Futuro","Arlington","Virginia","Immigrant services" ,"2021","30000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Washington English Center","Washington","District of Columbia","ESL and second language acquisition" ,"2021","30000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Literacy Council of Northern Virginia","Falls Church","Virginia","Adult literacy" ,"2021","30000","General support;","General support."
"John Lyon's Charity","","OYA Organisation of Young Africans","London","United Kingdom","" ,"2021","27143","Program support;","COVID-19: LCR Wave 2 - Mobile Resource Library"
"John Lyon's Charity","","Avenues Youth Project","London","United Kingdom","Disaster relief" ,"2021","25655","Online engagement;Program support;","COVID-19: LCR Wave 2 - Digital Delivery &amp; Outreach Support"
"John Lyon's Charity","","National Resource Centre for Supplementary Education","London","England","Disaster relief" ,"2021","25655","Online engagement;Program support;","COVID-19: LCR Wave 2 - Online Training"
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","ACCESS Youth","Washington","District of Columbia","Elementary and secondary education" ,"2021","25000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Chelsea School","Silver Spring","Maryland","Out-of-school learning" ,"2021","25000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Reading Partners","Washington","District of Columbia","Reading promotion" ,"2021","25000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Dc Bar Pro Bono Center","Washington","District of Columbia","" ,"2021","25000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Scholarchips, Inc.","Washington","District of Columbia","" ,"2021","25000","General support;","General support."
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","School Justice Project","Washington","District of Columbia","Legal services" ,"2021","20000","General support;","General support."
"Hugh J. Andersen Foundation","Minnesota","Compas","Saint Paul","Minnesota","Respiratory system diseases" ,"2021","20000","General support;","General operating support to respond to Coronavirus/COVID-19"
"Mercers’ Company","","The National Literacy Trust","London","England","Disaster relief" ,"2021","12828","","To support children and young people from low-income families who do not have access to the internet and computers by providing printed copies of the organisation's Family Zone packs. Covid-19 Rapid Response Fund Grant"
"Mercers’ Company","","Saint Paul's Girls' School","London","England","Disaster relief" ,"2021","12828","","To be allocated where most needed amongst maintained schools in the West London Partnership for the purchase of IT and other educational equipment and supplies for their most disadvantaged pupils. Covid-19 Rapid Response Fund Grant"
"Mercers’ Company","","Newham All Star Sports Academy","Silvertown","England","" ,"2021","12828","","To enable the organisation to extend the work of its coaches to provide a new mentoring support service to vulnerable young people during the Covid-19 lockdown. Covid-19 Rapid Response Fund Grant"
"The Trustee for Sisters of Charity Foundation Fund","","iHELP Aboriginal Corporation","Swan View","Australia","" ,"2021","10461","Public engagement and education;","To provide driver training and mentoring so 5 Aboriginal young people can get a driver's licence, then go on to find employment"
"The Trustee for Sisters of Charity Foundation Fund","","Give Write","Wembley","Australia","" ,"2021","10461","Program support;","Receive donations of new and used school stationery then recycle, repackage and re-gift to kids in need in WA"
"The Trustee for Sisters of Charity Foundation Fund","","Hunter Homeless Connect","Wallsend","Australia","" ,"2021","10461","Program support;","Helping local businesses support homeless people via a voucher program for everyday goods and services"
"The Morris and Gwendolyn Cafritz Foundation","District of Columbia","Trinity Washington University","Washington","District of Columbia","Undergraduate education" ,"2021","10000","","To match the amount contributed in 2019 by Patricia Mcguire, who serves as a member of our Board."
"The Trustee for Sisters of Charity Foundation Fund","","All Saints Catholic College Liverpool","Liverpool","Australia","" ,"2021","5579","Capital and infrastructure;","To provide uniforms, lunches, help with school excursion costs and school equipment for students, and to support refugee families in becoming part of the school community through parent excursions and other social activities"
"The Trustee for Sisters of Charity Foundation Fund","","Mary Immaculate Parish Primary School","Eagle Vale","Australia","" ,"2021","5579","Program support;","To provide financial and practical assistance to families within the school community who are experiencing financial hardship"
"The Sussex Community Foundation","","Pippa's Group","Lewes","England","Disaster relief" ,"2021","5303","Emergency funds;","Pippa’s Group is a pre-school set up for children who are in need. Pippa’s Group enrols children who have obvious additional needs before diagnosis. Their Family Support service continues to operate virtually. Their Pre-school is open to children of Key Workers and vulnerable children as well as supporting children within these categories who would usually attend an alternative childcare setting. Funding will support rent, phone bills and Pre-school Learning Alliance insurance. Sussex Crisis Fund - COVID-19"
"Central Carolina Community Foundation","South Carolina","Mt Calvary Missionary Baptist Churchachievement School","Hilton Head Island","South Carolina","Education" ,"2021","5000","","Food distribution. COVID-19 Response"
"The Sussex Community Foundation","","World Food Project","","England","Disaster relief" ,"2021","4579","Emergency funds;","The World Food Project uses cooking and eating together to bring people together and to practise new skills. We work with people who find it difficult to access other groups and need various kinds of additional support E.G. Asylum seekers and people with learning disabilities. Funding will support a proportion (15 hours per week) of our organiser and chef's time for 3 months, extra ingredients and volunteer costs. Sussex Crisis Fund - COVID-19"
"National Basketball Association Foundation","New York","George Floyd Protests 2020 - Unknown Recipient","","","STEM education" ,"2020","300000000","Network-building and collaboration;Equal access;Internships;","The national Basketball Association has announced a ten-year, $300 million commitment in support of greater economic empowerment in the Black community and the promotion of racial equity. The league will establish a charitable foundation with annual contributions totaling $30 million from all thirty NBA teams. The foundation will invest the funds in youth employment and internship programs, STEM education initiatives, job shadowing and apprenticeship programs, development pathways outside of traditional higher education, career placement initiatives, professional mentoring, networking opportunities, and partnerships with historically Black colleges and universities"
"The Andrew W. Mellon Foundation","New York","Coronavirus Disease 2019 - Unknown Recipient","","","Disaster relief" ,"2020","200000000","Emergency funds;","The Andrew W. Mellon Foundation announced that it will dedicate an additional $200 million in grantmaking for emergency support to non-profits in higher education, the arts, and humanities, to help shore up struggling institutions during the global coronavirus (COVID-19) pandemic"
"salesforce.com","California","George Floyd Protests 2020 - Unknown Recipient","","","Social rights" ,"2020","200000000","Policy, advocacy and systems reform;Equal access;","Salesforce has announced $200 million in philanthropic support and a million volunteer hours over the next five years for organizations working to advance racial equity and justice at the global, national, and local levels; nearly half the funds will support public education and efforts aimed at closing the achievement gap for African-american and underrepresented"
"Walton Family Charitable Support Foundation, Inc.","Arkansas","University of Arkansas","Fayetteville","Arkansas","Social sciences" ,"2020","194700000","Research;","&quot;To establish the University of Arkansas Institute for Integrative and Innovative Research (I3r), transforming the research, innovation and economic development culture of the university&quot;"
"United States Administration For Children And Families","District of Columbia","Los Angeles County Office of Education","Downey","California","Child educational development" ,"2020","152250750","Program support;","Head start and early head start"
"United States Food And Nutrition Service","Virginia","Nc Dept of Public Instruction","Raleigh","North Carolina","Education" ,"2020","141456526","","School food programs"
"United States Food And Nutrition Service","Virginia","Georgia Department of Education","Atlanta","Georgia","Education" ,"2020","129578261","","School food programs"
"Adidas America Inc. Contributions Program","Oregon","George Floyd Protests 2020 - Unknown Recipient","","","Social rights" ,"2020","120000000","Equal access;Scholarships;","Adidas announced a commitment of $120 million over the next 4 years that will ensure that the company's racial equity initiatives are sustainable and focused on long-term impact. Adidas will also finance 50 scholarships each year for Black students at partner schools and increase its number of Black employees, with a minimum of 30 percent of new Adidas and Reebok hires in the U.S. Being Black and Latinx"
"Apple Inc. Contributions Program","California","George Floyd Protests 2020 - Multiple Recipients","","","Social rights" ,"2020","100000000","","Apple will spend $100 million on a new company initiative dedicated to racial justice, Apple CEO Tim Cook announced. The Apple Racial Equity and Justice initiative will focus on issues surrounding education, economic equality, and criminal justice reform"
"IBM Corporate Giving Program","New York","George Floyd Protests 2020 - Multiple Recipients","","","Social rights" ,"2020","100000000","Information technology;Equal access;","IBM announced that by the end of the year it would donate $100 million in technology, assets, resources, and skills development — including guest lectures, curriculum content, digital badges, software, and faculty training — through the IBM Skills Academy Academic Initiative to help promote racial equity. HBCUs participating in the initiative include Clark Atlanta University, Fayetteville State University, Grambling State University, Hampton University, Howard University, Johnson C. Smith University, Norfolk State University, North Carolina A&amp;t State University, North Carolina Central University, the Southern University System, Stillman College, Virginia State University, and West Virginia State University"
"Yum! Brands, Inc. Corporate Giving Program","Kentucky","George Floyd Protests 2020 - Unknown Recipient","","","Diversity and intergroup relations" ,"2020","100000000","Equal access;","Yum! Brands announced a five-year, $100 million commitment to tackle racial inequality among employees, frontline restaurant teams, and communities worldwide. The investments will be made in the areas of equity and inclusion, education, and entrepreneurship, with a focus on increasing representation of Black and Latinx individuals, people of color, and women among the corporation's executive and management ranks, franchisees, and suppliers"
"Bank of America Corporation Contributions Program","North Carolina","Coronavirus Disease 2019 - Unknown Recipient","","","Disaster relief" ,"2020","100000000","Policy, advocacy and systems reform;","Bank of America announced it is committing $100 million to support local communities in need as the world faces unprecedented challenges from the coronavirus (COVID-19). The funds will help increase medical response capacity, address food insecurity, increase access to learning as a result of school closures, and provide support to the world’s most vulnerable population"
"United States Administration For Children And Families","District of Columbia","Neighborhood House Association","San Diego","California","Child educational development" ,"2020","81662738","Program support;","Head start and early head start"
"Michael & Susan Dell Foundation","Texas","Coronavirus Disease 2019 - Unknown Recipient","","","Community and economic development" ,"2020","80000000","","The Michael &amp; Susan Dell Foundation has announced a commitment of $100 million in support of COVID-19 response efforts and to address the economic fallout of the global coronavirus pandemic. The commitment includes $20 million in support of the COVID-19 Therapeutics Accelerator, which was launched in March by the Bill &amp; Melinda Gates Foundation, Wellcome, and Mastercard to identify and drive the development of treatments for COVID-19. The remaining $80 million will be awarded to nonprofit and social enterprises working in the areas of health, education, and community development"
"United States Food And Nutrition Service","Virginia","Tennessee Department of Education","Nashville","Tennessee","Nutrition" ,"2020","76269456","Program support;","School food programs"
"United States Food And Nutrition Service","Virginia","Florida Department of Health","Tallahassee","Florida","Elementary and secondary education" ,"2020","73669744","Program support;","School food programs"
"Squirrel AI Learning","","Coronavirus Disease 2019 - Unknown Recipient","","","Education" ,"2020","72100000","Equal access;Curriculum development;","Squirrel AI Learning announced that it would donate 500 million yuan in online AI learning courses across the country, including Hubei, as it grapples with coronavirus containment. Primary and secondary school students can receive it for free"
"United States Food And Nutrition Service","Virginia","Alabama State Department of Education","Montgomery","Alabama","Education" ,"2020","71448515","","School food programs"
"United States Food And Nutrition Service","Virginia","Ky Dept of Education","Frankfort","Kentucky","Elementary and secondary education" ,"2020","68380925","Program support;","School food programs"
"United States National Institutes of Health","Maryland","University of California Los Angeles","Los Angeles","California","" ,"2020","67339292","Research;","Leadership and operations center (loc), aids clinical trials group (actg); loc 1/"
"United States Food And Nutrition Service","Virginia","Sc Dept of Education","Columbia","South Carolina","Education" ,"2020","54077541","","School food programs"
"Cogna Educacao S.A.","","Coronavirus Disease 2019 - Unknown Recipient","","","Disaster relief" ,"2020","51346154","","With schools closed due to the coronavirus (COVID-19)  pandemic, Cogna, the largest education group in Brazil, released educational content serving students and small entrepreneurs who are currently seeking guidance and  training courses. In the past two months the company has registered more than 630,000 downloads of content distributed for free worth R $ 267 million"
"United States Administration For Children And Families","District of Columbia","San Bernardino, County Of","San Bernardino","California","" ,"2020","51178166","Program support;","Head start and early head start"
"Fund II Foundation","Texas","Student Freedom Initiative","","","STEM education" ,"2020","50000000","Equal access;","Fund II Foundation donated $50 million to the Student Freedom Initiative, who will offer African-american juniors and seniors majoring in STEM fields at historically black colleges and universities a flexible, lower-risk alternative to private high-interest student loans, which will help to promote racial equity"
"Google.org","California","Coronavirus Disease 2019 - Unknown Recipient","","","Disaster relief" ,"2020","50000000","","Google has announced a $50 million commitment through Google.org in support of global COVID-19 response efforts. The funds will support governments, multilateral organizations, and relief organizations working to respond to the coronavirus, with a focus on health and science initiatives, access to educational resources, and small business support"
"ByteDance","","Coronavirus Disease 2019 - Multiple Recipients","","","Disaster relief" ,"2020","50000000","Capacity-building and technical assistance;Presentations and productions;","Tiktok announced a commitment of $50 million to its Creative Learning Fund, which will award grants to educators, professional experts, and nonprofits with skill and expertise in disseminating educational information and course materials in an accessible, distance-learning format to continue education in the wake of coronavirus (COVID-19) shutdowns"
"Microsoft Corporation Contributions Program","Washington","George Floyd Protests 2020 - Multiple Recipients","","","Social rights" ,"2020","50000000","Equal access;","Microsoft announced it will commit $50 million over five years to expand and strengthen its existing racial justice reform initiative and strengthen computer science education in high schools primarily serving black and African-american students and at historically black colleges and universities to help promote racial equity"
"Intel Corporation Contributions Program","California","Coronavirus Disease 2019 - Unknown Recipient","","","Disaster relief" ,"2020","50000000","Equal access;Program support;","Intel has announced a $50 million commitment to expand access to technology during the coronavirus (COVID-19) public health crisis. Approximately $40 million of the commitment will fund the Intel COVID-19 Response and Readiness Initiative and Intel Online Learning Initiative. The chip maker also will allocate up to $10 million to an innovation fund in support of employee-led COVID-19 relief projects and requests from external partners to address critical needs in their communities"
"LEGO Fonden","","Coronavirus Disease 2019 - Multiple Recipients","","","Disaster relief" ,"2020","50000000","Program support;","The LEGO Foundation donated $50 million (USD) to support children most in need and ensure they continue to have access to learning through play which helps develop life-long skills. The donation will be split between three groups of partners. They are: Education Cannot Wait, which provides education for children caught in emergencies and protracted crises; a selection of existing LEGO Foundation partners whose work with children and families is under additional pressure from coronavirus (COVID-19); and charity partners serving communities where the LEGO Group has a significant presence"
"United States Food And Nutrition Service","Virginia","Elder Affairs, Florida Department Of","Tallahassee","Florida","" ,"2020","44201846","Program support;","School food programs"
"United States Administration For Children And Families","District of Columbia","School District of Philadelphia, The","Philadelphia","Pennsylvania","Child educational development" ,"2020","42738807","Program support;","Head start program"
"Genentech, Inc. Corporate Giving Program","California","Coronavirus Disease 2019 - Multiple Recipients","","","Disaster relief" ,"2020","42000000","Program support;","Genentechand thegenentech Foundationhave announced commitments totaling $42 million in support of coronavirus (COVID-19) relief and recovery efforts. The funding will be directed to national, regional, and local efforts with a focus on three areas: critical health needs, strengthening schools, and grassroots community support"
"United States Administration For Children And Families","District of Columbia","Education Service Center Region 19","El Paso","Texas","Child educational development" ,"2020","41004054","Program support;","Head start and early head start"
"United States Administration For Children And Families","District of Columbia","Orange County Head Start","Santa Ana","California","Child development" ,"2020","40017025","Program support;","Head start and early head start"
"NIKE, Inc. Corporate Giving Program","Oregon","George Floyd Protests 2020 - Unknown Recipient","","","Social rights" ,"2020","40000000","","Nikewill commit $40 million during the next four years to support the black community and fight racial injustice after the death ofgeorge Floyd, the company said. The funds will be focused on investing in and supporting organizations that put social justice, education and addressing racial inequality in America at the center of their work"
"Community Foundation of Greater Memphis","Tennessee","Lemoyne Owen College","Memphis","Tennessee","Disaster relief" ,"2020","40000000","General support;Equal access;","Lemoyne-owen College (HBCU) has been named the beneficiary of an endowment of $40 million from the Community Foundation of Greater Memphis to allow the college to continue to provide unique opportunities for African-american students and help to narrow the racial equity gap. Like other colleges across the country, Lemoyne-owen College is working to ensure their students, many of whom are first-generation college attendees, return to school following the coronavirus (COVID-19) pandemic. Recent initiatives include partnerships to provide Wi-fi access and electronic devices to students for remote learning, emergency assistance for displaced students and scholarships for students in need. The gift allows unrestricted use of the funds for purposes determined by LeMoyne-Owen College"
"Robert W. Woodruff Foundation","Georgia","Robert W. Woodruff Health Sciences Center Fund","Atlanta","Georgia","Health" ,"2020","35000037","","Development of Emory University's Winship Tower Midtown and Health Sciences Research Building II."
"Bloomberg Philanthropies, Inc.","New York","Meharry Medical College","Nashville","Tennessee","Disaster relief" ,"2020","34000000","Equal access;Scholarships;","With the goal of promoting racial equity and reducing the debt burden of African-american medical students, many of whom face increased financial pressure due to COVID-19, Bloomberg Philanthropies awarded $34 million to Meharry Medical College. The gift will be used to award scholarships of up to $100,000 over the next four years to nearly every medical student currently enrolled who is receiving financial aid"
"United States Administration For Children And Families","District of Columbia","Phoenix Human Services Department","Phoenix","Arizona","Child educational development" ,"2020","33787459","Program support;","Head start and early head start"
"Bloomberg Philanthropies, Inc.","New York","Howard University","Washington","District of Columbia","Disaster relief" ,"2020","32800000","Equal access;Scholarships;","With the goal of promoting racial equity and reducing the debt burden of African-american medical students, many of whom face increased financial pressure due to COVID-19, Bloomberg Philanthropies awarded $32.8 Million to the Howard University College of Medicine. The gift will be used to award scholarships of up to $100,000 over the next four years to nearly every medical student currently enrolled who is receiving financial aid"
"Ford Foundation","New York","Nonprofit Finance Fund","New York City","New York","" ,"2020","29000000","Capacity-building and technical assistance;Financial services;Program support;","To capitalize the NYC COVID-19 Response &amp; Impact Fund in an effort to provide bridge financing and working capital to NYC nonprofits impacted by the coronavirus and to support and demonstrate their resiliency, even in financial uncertainty"
"Country Garden Holdings Company","","Guangdong Province Guoqiang Charity Foundation- Foundation Administered Program","Shunde","China","Disaster relief" ,"2020","28840000","","Country Garden made an emergency donation of 100 million yuan through the Guoqiang Foundation on January 24 to set up its first fund to combat the coronavirus and followed up with a second donation of an additional 100 million yuan on February 13"
"The Nau Foundation","Texas","University of Virginia","Charlottesville","Virginia","Democracy" ,"2020","27500000","Policy, advocacy and systems reform;","&quot;To support UVA's recently launched Democracy Initiative and its Program on Constitutionalism and Democracy&quot;"
"Bloomberg Philanthropies, Inc.","New York","The Morehouse School of Medicine Inc.","Atlanta","Georgia","Disaster relief" ,"2020","26300000","Equal access;Scholarships;","With the goal of promoting racial equity and reducing the debt burden of African-american medical students, many of whom face increased financial pressure due to COVID-19, Bloomberg Philanthropies awarded $26.3 Million to the Morehouse School of Medicine. The gift will be used to award scholarships of up to $100,000 over the next four years to nearly every medical student currently enrolled who is receiving financial aid"
"United States Food And Nutrition Service","Virginia","Tn Dept of Human Services","Nashville","Tennessee","" ,"2020","25423151","Program support;","School food programs"
"United States Administration For Children And Families","District of Columbia","LONG BEACH UNIFIED SCHOOL DISTRICT","Long Beach","California","Child educational development" ,"2020","25270327","Program support;","Head start and early head start"

Refinements:
"Education, Computer science, Robotics"
